Everybody matched with top 7 preferences:
m198: matched to w314 (rank 4)
m199: matched to w239 (rank 3)
m200: matched to w66 (rank 5)
m201: matched to w233 (rank 3)
m202: matched to w376 (rank 4)
m203: matched to w150 (rank 2)
m204: matched to w1 (rank 3)
m205: matched to w24 (rank 2)
m206: matched to w472 (rank 2)
m207: matched to w193 (rank 2)
m208: matched to w35 (rank 1)
m209: matched to w491 (rank 4)
m210: matched to w329 (rank 1)
m211: matched to w0 (rank 1)
m212: matched to w558 (rank 1)
m213: matched to w476 (rank 1)
m214: matched to w48 (rank 1)
m215: matched to w483 (rank 1)
m216: matched to w247 (rank 2)
m217: matched to w179 (rank 2)
m218: matched to w299 (rank 1)
m219: matched to w501 (rank 1)
m220: matched to w162 (rank 2)
m221: matched to w527 (rank 3)
m222: matched to w325 (rank 1)
m223: matched to w309 (rank 4)
m224: matched to w274 (rank 1)
m225: matched to w270 (rank 2)
m226: matched to w433 (rank 1)
m227: matched to w582 (rank 1)
m228: matched to w33 (rank 2)
m229: matched to w455 (rank 4)
m230: matched to w152 (rank 2)
m231: matched to w442 (rank 1)
m232: matched to w169 (rank 1)
m233: matched to w264 (rank 1)
m234: matched to w395 (rank 3)
m235: matched to w171 (rank 1)
m236: matched to w320 (rank 2)
m237: matched to w161 (rank 1)
m238: matched to w392 (rank 3)
m239: matched to w126 (rank 1)
m240: matched to w168 (rank 1)
m241: matched to w108 (rank 2)
m242: matched to w167 (rank 3)
m243: matched to w160 (rank 1)
m244: matched to w590 (rank 2)
m245: matched to w330 (rank 1)
m246: matched to w315 (rank 4)
m247: matched to w493 (rank 1)
m248: matched to w74 (rank 1)
m249: matched to w550 (rank 2)
m250: matched to w554 (rank 1)
m251: matched to w283 (rank 3)
m252: matched to w268 (rank 1)
m253: matched to w505 (rank 5)
m254: matched to w16 (rank 7)
m255: matched to w47 (rank 1)
m256: matched to w250 (rank 1)
m257: matched to w445 (rank 1)
m258: matched to w522 (rank 3)
m259: matched to w184 (rank 2)
m260: matched to w44 (rank 1)
m261: matched to w116 (rank 2)
m262: matched to w130 (rank 2)
m263: matched to w208 (rank 1)
m264: matched to w597 (rank 3)
m265: matched to w295 (rank 1)
m266: matched to w551 (rank 1)
m267: matched to w174 (rank 3)
m268: matched to w76 (rank 4)
m269: matched to w199 (rank 2)
m270: matched to w176 (rank 1)
m271: matched to w528 (rank 1)
m272: matched to w220 (rank 1)
m273: matched to w544 (rank 4)
m274: matched to w262 (rank 1)
m275: matched to w87 (rank 2)
m276: matched to w301 (rank 2)
m277: matched to w569 (rank 3)
m278: matched to w64 (rank 1)
m279: matched to w494 (rank 3)
m280: matched to w562 (rank 1)
m281: matched to w8 (rank 1)
m282: matched to w49 (rank 2)
m283: matched to w142 (rank 2)
m284: matched to w545 (rank 2)
m285: matched to w306 (rank 1)
m286: matched to w444 (rank 2)
m287: matched to w293 (rank 1)
m288: matched to w577 (rank 2)
m289: matched to w73 (rank 4)
m290: matched to w580 (rank 1)
m291: matched to w478 (rank 1)
m292: matched to w31 (rank 2)
m293: matched to w266 (rank 7)
m294: matched to w204 (rank 1)
m295: matched to w464 (rank 2)
m296: matched to w556 (rank 2)
m297: matched to w414 (rank 2)
m298: matched to w439 (rank 2)
m299: matched to w586 (rank 1)
m300: matched to w78 (rank 3)
m301: matched to w333 (rank 1)
m302: matched to w217 (rank 1)
m303: matched to w486 (rank 2)
m304: matched to w260 (rank 2)
m305: matched to w342 (rank 2)
m306: matched to w541 (rank 1)
m307: matched to w408 (rank 1)
m308: matched to w401 (rank 2)
m309: matched to w566 (rank 1)
m310: matched to w50 (rank 2)
m311: matched to w416 (rank 1)
m312: matched to w40 (rank 3)
m313: matched to w36 (rank 4)
m314: matched to w596 (rank 1)
m315: matched to w10 (rank 1)
m316: matched to w540 (rank 3)
m317: matched to w518 (rank 2)
m318: matched to w249 (rank 3)
m319: matched to w26 (rank 1)
m320: matched to w277 (rank 3)
m321: matched to w294 (rank 3)
m322: matched to w190 (rank 2)
m323: matched to w280 (rank 2)
m324: matched to w120 (rank 5)
m325: matched to w276 (rank 2)
m326: matched to w218 (rank 1)
m327: matched to w488 (rank 1)
m328: matched to w65 (rank 1)
m329: matched to w339 (rank 1)
m330: matched to w63 (rank 2)
m331: matched to w407 (rank 1)
m332: matched to w86 (rank 3)
m333: matched to w526 (rank 2)
m334: matched to w461 (rank 4)
m335: matched to w216 (rank 3)
m336: matched to w387 (rank 5)
m337: matched to w381 (rank 1)
m338: matched to w336 (rank 1)
m339: matched to w28 (rank 2)
m340: matched to w428 (rank 1)
m341: matched to w11 (rank 2)
m342: matched to w17 (rank 3)
m343: matched to w425 (rank 2)
m344: matched to w555 (rank 3)
m345: matched to w206 (rank 1)
m346: matched to w106 (rank 3)
m347: matched to w517 (rank 1)
m348: matched to w39 (rank 1)
m349: matched to w507 (rank 3)
m350: matched to w115 (rank 3)
m351: matched to w32 (rank 1)
m352: matched to w429 (rank 1)
m353: matched to w281 (rank 1)
m354: matched to w180 (rank 2)
m355: matched to w257 (rank 1)
m356: matched to w27 (rank 2)
m357: matched to w360 (rank 1)
m358: matched to w252 (rank 1)
m359: matched to w55 (rank 2)
m360: matched to w13 (rank 1)
m361: matched to w137 (rank 1)
m362: matched to w524 (rank 3)
m363: matched to w398 (rank 7)
m364: matched to w374 (rank 2)
m365: matched to w225 (rank 1)
m366: matched to w244 (rank 3)
m367: matched to w70 (rank 1)
m368: matched to w583 (rank 3)
m369: matched to w195 (rank 3)
m370: matched to w448 (rank 1)
m371: matched to w399 (rank 3)
m372: matched to w164 (rank 1)
m373: matched to w213 (rank 2)
m374: matched to w570 (rank 4)
m375: matched to w62 (rank 1)
m376: matched to w511 (rank 2)
m377: matched to w426 (rank 1)
m378: matched to w475 (rank 1)
m379: matched to w594 (rank 2)
m380: matched to w307 (rank 2)
m381: matched to w304 (rank 2)
m382: matched to w125 (rank 2)
m383: matched to w224 (rank 2)
m384: matched to w367 (rank 1)
m385: matched to w402 (rank 3)
m386: matched to w91 (rank 1)
m387: matched to w181 (rank 1)
m388: matched to w592 (rank 2)
m389: matched to w60 (rank 3)
m390: matched to w382 (rank 1)
m391: matched to w500 (rank 1)
m392: matched to w441 (rank 1)
m393: matched to w538 (rank 1)
m394: matched to w338 (rank 1)
m395: matched to w134 (rank 1)
m396: matched to w69 (rank 1)
m397: matched to w460 (rank 3)
m398: matched to w240 (rank 3)
m399: matched to w151 (rank 2)
m400: matched to w532 (rank 2)
m401: matched to w20 (rank 2)
m402: matched to w595 (rank 1)
m403: matched to w371 (rank 1)
m404: matched to w561 (rank 1)
m405: matched to w466 (rank 1)
m406: matched to w450 (rank 1)
m407: matched to w98 (rank 2)
m408: matched to w93 (rank 1)
