Everybody matched with top 8 preferences:
m198: matched to w368 (rank 3)
m199: matched to w944 (rank 1)
m200: matched to w146 (rank 1)
m201: matched to w317 (rank 1)
m202: matched to w270 (rank 2)
m203: matched to w355 (rank 2)
m204: matched to w386 (rank 5)
m205: matched to w882 (rank 2)
m206: matched to w61 (rank 2)
m207: matched to w417 (rank 1)
m208: matched to w865 (rank 3)
m209: matched to w675 (rank 2)
m210: matched to w440 (rank 1)
m211: matched to w654 (rank 2)
m212: matched to w921 (rank 2)
m213: matched to w25 (rank 2)
m214: matched to w427 (rank 1)
m215: matched to w693 (rank 2)
m216: matched to w634 (rank 4)
m217: matched to w47 (rank 3)
m218: matched to w288 (rank 2)
m219: matched to w411 (rank 1)
m220: matched to w246 (rank 2)
m221: matched to w124 (rank 3)
m222: matched to w864 (rank 4)
m223: matched to w602 (rank 1)
m224: matched to w401 (rank 1)
m225: matched to w30 (rank 1)
m226: matched to w623 (rank 3)
m227: matched to w575 (rank 2)
m228: matched to w283 (rank 1)
m229: matched to w951 (rank 1)
m230: matched to w171 (rank 1)
m231: matched to w593 (rank 1)
m232: matched to w880 (rank 3)
m233: matched to w612 (rank 1)
m234: matched to w203 (rank 1)
m235: matched to w399 (rank 4)
m236: matched to w499 (rank 2)
m237: matched to w176 (rank 4)
m238: matched to w207 (rank 2)
m239: matched to w679 (rank 4)
m240: matched to w27 (rank 1)
m241: matched to w168 (rank 3)
m242: matched to w981 (rank 5)
m243: matched to w70 (rank 2)
m244: matched to w370 (rank 1)
m245: matched to w230 (rank 1)
m246: matched to w324 (rank 1)
m247: matched to w931 (rank 4)
m248: matched to w467 (rank 1)
m249: matched to w88 (rank 2)
m250: matched to w644 (rank 4)
m251: matched to w678 (rank 1)
m252: matched to w870 (rank 3)
m253: matched to w245 (rank 1)
m254: matched to w977 (rank 3)
m255: matched to w495 (rank 6)
m256: matched to w960 (rank 2)
m257: matched to w186 (rank 1)
m258: matched to w692 (rank 1)
m259: matched to w614 (rank 1)
m260: matched to w269 (rank 2)
m261: matched to w823 (rank 1)
m262: matched to w235 (rank 1)
m263: matched to w20 (rank 1)
m264: matched to w553 (rank 4)
m265: matched to w924 (rank 3)
m266: matched to w975 (rank 1)
m267: matched to w279 (rank 2)
m268: matched to w856 (rank 1)
m269: matched to w436 (rank 1)
m270: matched to w254 (rank 2)
m271: matched to w727 (rank 2)
m272: matched to w601 (rank 2)
m273: matched to w762 (rank 1)
m274: matched to w731 (rank 1)
m275: matched to w648 (rank 1)
m276: matched to w271 (rank 1)
m277: matched to w732 (rank 2)
m278: matched to w479 (rank 2)
m279: matched to w932 (rank 2)
m280: matched to w360 (rank 2)
m281: matched to w707 (rank 1)
m282: matched to w472 (rank 1)
m283: matched to w178 (rank 5)
m284: matched to w57 (rank 1)
