Everybody matched with top 6 preferences:
Elapsed time: 93 ms
m0: matched to w166 (rank 1)
m1: matched to w42 (rank 2)
m2: matched to w150 (rank 1)
m3: matched to w196 (rank 1)
m4: matched to w65 (rank 1)
m5: matched to w247 (rank 3)
m6: matched to w8 (rank 1)
m7: matched to w139 (rank 1)
m8: matched to w238 (rank 1)
m9: matched to w113 (rank 2)
m10: matched to w109 (rank 1)
m11: matched to w204 (rank 2)
m12: matched to w16 (rank 1)
m13: matched to w41 (rank 2)
m14: matched to w43 (rank 1)
m15: matched to w134 (rank 2)
m16: matched to w127 (rank 2)
m17: matched to w53 (rank 1)
m18: matched to w217 (rank 1)
m19: matched to w88 (rank 1)
m20: matched to w83 (rank 1)
m21: matched to w21 (rank 1)
m22: matched to w171 (rank 2)
m23: matched to w234 (rank 1)
m24: matched to w237 (rank 2)
m25: matched to w57 (rank 1)
m26: matched to w63 (rank 1)
m27: matched to w62 (rank 1)
m28: matched to w146 (rank 2)
m29: matched to w35 (rank 2)
m30: matched to w91 (rank 2)
m31: matched to w167 (rank 2)
m32: matched to w151 (rank 1)
m33: matched to w4 (rank 3)
m34: matched to w23 (rank 2)
m35: matched to w44 (rank 1)
m36: matched to w221 (rank 1)
m37: matched to w144 (rank 1)
m38: matched to w61 (rank 2)
m39: matched to w0 (rank 2)
m40: matched to w189 (rank 2)
m41: matched to w141 (rank 1)
m42: matched to w198 (rank 1)
m43: matched to w153 (rank 3)
m44: matched to w131 (rank 1)
m45: matched to w74 (rank 1)
m46: matched to w155 (rank 3)
m47: matched to w159 (rank 1)
m48: matched to w130 (rank 1)
m49: matched to w86 (rank 2)
m50: matched to w72 (rank 5)
m51: matched to w147 (rank 3)
m52: matched to w116 (rank 2)
m53: matched to w67 (rank 3)
m54: matched to w136 (rank 3)
m55: matched to w157 (rank 3)
m56: matched to w19 (rank 1)
m57: matched to w232 (rank 2)
m58: matched to w29 (rank 4)
m59: matched to w122 (rank 1)
m60: matched to w89 (rank 4)
m61: matched to w124 (rank 3)
m62: matched to w132 (rank 1)
m63: matched to w227 (rank 2)
m64: matched to w219 (rank 5)
m65: matched to w190 (rank 1)
m66: matched to w96 (rank 1)
m67: matched to w240 (rank 1)
m68: matched to w14 (rank 1)
m69: matched to w163 (rank 2)
m70: matched to w226 (rank 2)
m71: matched to w27 (rank 1)
m72: matched to w5 (rank 1)
m73: matched to w34 (rank 3)
m74: matched to w54 (rank 3)
m75: matched to w20 (rank 2)
m76: matched to w152 (rank 2)
m77: matched to w201 (rank 2)
m78: matched to w64 (rank 1)
m79: matched to w73 (rank 2)
m80: matched to w100 (rank 1)
m81: matched to w246 (rank 2)
m82: matched to w128 (rank 2)
m83: matched to w55 (rank 1)
m84: matched to w52 (rank 5)
m85: matched to w228 (rank 3)
m86: matched to w102 (rank 1)
m87: matched to w28 (rank 4)
m88: matched to w173 (rank 2)
m89: matched to w26 (rank 2)
m90: matched to w85 (rank 1)
m91: matched to w79 (rank 1)
m92: matched to w40 (rank 1)
m93: matched to w244 (rank 3)
m94: matched to w207 (rank 1)
m95: matched to w181 (rank 1)
m96: matched to w24 (rank 1)
m97: matched to w178 (rank 3)
m98: matched to w158 (rank 2)
m99: matched to w180 (rank 1)
m100: matched to w200 (rank 2)
m101: matched to w218 (rank 1)
m102: matched to w135 (rank 1)
m103: matched to w31 (rank 2)
m104: matched to w199 (rank 3)
m105: matched to w107 (rank 3)
m106: matched to w148 (rank 2)
m107: matched to w126 (rank 4)
m108: matched to w249 (rank 1)
m109: matched to w223 (rank 1)
m110: matched to w209 (rank 4)
m111: matched to w160 (rank 2)
m112: matched to w36 (rank 2)
m113: matched to w154 (rank 2)
m114: matched to w205 (rank 2)
m115: matched to w98 (rank 3)
m116: matched to w192 (rank 1)
m117: matched to w216 (rank 1)
m118: matched to w39 (rank 2)
m119: matched to w162 (rank 3)
m120: matched to w104 (rank 2)
m121: matched to w115 (rank 3)
m122: matched to w145 (rank 1)
m123: matched to w71 (rank 4)
m124: matched to w202 (rank 3)
m125: matched to w81 (rank 2)
m126: matched to w236 (rank 1)
m127: matched to w241 (rank 1)
m128: matched to w66 (rank 1)
m129: matched to w69 (rank 3)
m130: matched to w172 (rank 1)
m131: matched to w80 (rank 2)
m132: matched to w111 (rank 2)
m133: matched to w183 (rank 2)
m134: matched to w225 (rank 1)
m135: matched to w119 (rank 2)
m136: matched to w224 (rank 1)
m137: matched to w32 (rank 3)
m138: matched to w10 (rank 4)
m139: matched to w51 (rank 1)
m140: matched to w2 (rank 1)
m141: matched to w239 (rank 1)
m142: matched to w30 (rank 2)
m143: matched to w208 (rank 1)
m144: matched to w3 (rank 2)
m145: matched to w37 (rank 2)
m146: matched to w90 (rank 6)
m147: matched to w92 (rank 4)
