Everybody matched with top 5 preferences:
Elapsed time: 73 ms
m0: matched to w73 (rank 2)
m1: matched to w0 (rank 1)
m2: matched to w58 (rank 1)
m3: matched to w68 (rank 2)
m4: matched to w88 (rank 2)
m5: matched to w21 (rank 3)
m6: matched to w50 (rank 3)
m7: matched to w60 (rank 1)
m8: matched to w48 (rank 2)
m9: matched to w44 (rank 1)
m10: matched to w33 (rank 2)
m11: matched to w89 (rank 1)
m12: matched to w66 (rank 1)
m13: matched to w25 (rank 2)
m14: matched to w81 (rank 1)
m15: matched to w11 (rank 1)
m16: matched to w93 (rank 1)
m17: matched to w74 (rank 1)
m18: matched to w87 (rank 1)
m19: matched to w43 (rank 2)
m20: matched to w10 (rank 1)
m21: matched to w9 (rank 3)
m22: matched to w72 (rank 1)
m23: matched to w76 (rank 2)
m24: matched to w8 (rank 2)
m25: matched to w45 (rank 2)
m26: matched to w38 (rank 1)
m27: matched to w71 (rank 1)
m28: matched to w23 (rank 4)
m29: matched to w54 (rank 1)
m30: matched to w41 (rank 2)
m31: matched to w53 (rank 1)
m32: matched to w46 (rank 1)
m33: matched to w79 (rank 1)
m34: matched to w5 (rank 2)
m35: matched to w65 (rank 2)
m36: matched to w94 (rank 2)
m37: matched to w70 (rank 2)
m38: matched to w98 (rank 3)
m39: matched to w62 (rank 1)
m40: matched to w96 (rank 1)
m41: matched to w86 (rank 1)
m42: matched to w24 (rank 1)
m43: matched to w30 (rank 3)
m44: matched to w83 (rank 2)
m45: matched to w29 (rank 1)
m46: matched to w31 (rank 1)
m47: matched to w32 (rank 2)
m48: matched to w15 (rank 1)
m49: matched to w63 (rank 1)
m50: matched to w80 (rank 1)
m51: matched to w27 (rank 1)
m52: matched to w78 (rank 2)
m53: matched to w26 (rank 2)
m54: matched to w4 (rank 2)
m55: matched to w40 (rank 3)
m56: matched to w69 (rank 1)
m57: matched to w3 (rank 5)
m58: matched to w7 (rank 3)
m59: matched to w16 (rank 1)
m60: matched to w75 (rank 3)
m61: matched to w17 (rank 2)
m62: matched to w77 (rank 1)
m63: matched to w67 (rank 1)
m64: matched to w92 (rank 2)
m65: matched to w56 (rank 2)
m66: matched to w57 (rank 1)
m67: matched to w51 (rank 1)
m68: matched to w22 (rank 3)
m69: matched to w49 (rank 3)
m70: matched to w34 (rank 1)
m71: matched to w84 (rank 3)
m72: matched to w19 (rank 1)
m73: matched to w90 (rank 3)
m74: matched to w28 (rank 1)
m75: matched to w64 (rank 3)
m76: matched to w91 (rank 5)
m77: matched to w20 (rank 1)
m78: matched to w99 (rank 4)
m79: matched to w85 (rank 3)
m80: matched to w39 (rank 3)
m81: matched to w18 (rank 1)
m82: matched to w1 (rank 1)
m83: matched to w52 (rank 2)
m84: matched to w6 (rank 3)
m85: matched to w55 (rank 2)
m86: matched to w12 (rank 1)
m87: matched to w47 (rank 1)
m88: matched to w2 (rank 2)
m89: matched to w61 (rank 2)
m90: matched to w59 (rank 1)
m91: matched to w35 (rank 2)
m92: matched to w37 (rank 3)
m93: matched to w36 (rank 3)
m94: matched to w13 (rank 5)
m95: matched to w42 (rank 2)
m96: matched to w95 (rank 5)
m97: matched to w82 (rank 2)
m98: matched to w97 (rank 2)
m99: matched to w14 (rank 1)
w66: matched to m38 (rank 1)
w73: matched to m72 (rank 1)
w17: matched to m62 (rank 4)
w14: matched to m48 (rank 2)
w25: matched to m31 (rank 3)
w85: matched to m56 (rank 1)
w77: matched to m3 (rank 2)
w5: matched to m73 (rank 2)
w80: matched to m92 (rank 2)
w3: matched to m27 (rank 2)
w75: matched to m74 (rank 3)
w63: matched to m68 (rank 2)
w51: matched to m83 (rank 1)
w43: matched to m67 (rank 1)
w22: matched to m85 (rank 1)
w54: matched to m51 (rank 1)
w55: matched to m82 (rank 3)
w76: matched to m79 (rank 2)
w60: matched to m28 (rank 3)
w71: matched to m95 (rank 3)
w93: matched to m63 (rank 3)
w42: matched to m80 (rank 2)
